Line,CTC Item ID,Description,CSI,Division,UOM,Quantity,Quantity Basis,Quantity Class,Material Unit 2023,Labor Unit 2023,Equipment Unit 2023,Published Direct Unit 2023,Labor Hours,CTC Labor Rate 2023,Current Labor Rate,Labor Rate Source Task,Mapped Trade,Labor Hours Method,Waste %,Location Factor,Productivity Factor,Labor Esc.,Material Esc.,Equipment Esc.,Material,Labor,Equipment,Subcontractor,Extended,Price Date,Source,Confidence,Notes
11,05 42 13 00-0013,"8"" - 16 Gauge Steel Joists",05,Metals,LF,210000,Conceptual cold-formed/secondary steel joist length,Benchmark assumption,4.855,3.884,0.971,9.71,11278.207964601772,72.32,83.16799999999999,01 22 20 00-0033,Structural Steel Worker,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,1198990.8000000003,937985.9999999999,229398.74999999997,0,2366375.5500000003,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 458",Low,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
12,06 11 16 00-0050,"2"" x 6"" Wood Stud Framing, For Partition Walls",06,"Wood, Plastics and Composites",LF,356400,2x6 stud length derived from residential GSF,Calculated,0.588,0.7,0.112,1.4,4299.155609167672,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,258181.86240000004,286902,44906.4,0,589990.2624,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 521",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
13,06 11 16 00-0015,"2"" x 10"" Wood Floor Joist",06,"Wood, Plastics and Composites",LF,336600,2x10 joist length equivalent for wood-framed floor assemblies,Calculated,1.0164,1.21,0.1936,2.42,7018.542133379286,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,421492.13568000006,468378.89999999997,73311.48,0,963182.51568,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 520",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
14,06 16 43 00-0003,"5/8"" Exterior Gypsum Sheathing (GP Dens-Glass Gold)",06,"Wood, Plastics and Composites",SF,138899.17265156886,Exterior structural sheathing area,Calculated,0.9366,1.115,0.1784,2.23,2668.8364209288175,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,160274.53300992603,178103.46413247415,27877.06395116987,0,366255.0610935701,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 537",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
15,06 41 13 00-0012,"24"" Wide, 35"" High x 23-3/4"" Deep, Single Drawer and Single Door, Solid Maple Face Frame, Door and Drawer Front, Base Cabinet",06,"Wood, Plastics and Composites",EA,5280,Eleven 24-inch base/wall cabinet equivalents per apartment,Benchmark assumption,203.6538,242.445,38.7912,484.89,22059.4451145959,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,1324759.822848,1472126.0399999998,230419.72800000003,0,3027305.590848,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 546",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
16,07 21 16 00-0006,"5-1/2"" Thick, Kraft Faced, R-21 Fiberglass Flexible Insulation",07,Thermal and Moisture Protection,SF,138899.17265156886,R-21 exterior wall insulation area,Calculated,0.72,0.72,0.16,1.6,1627.7246795105725,61.44,70.65599999999999,01 22 20 00-0027,"Roofer, Composite",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,120968.95625232316,115008.51495549902,25001.851077282394,0,260979.32228510457,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 611",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
17,07 24 13 00-0033,"Smooth, High Performance, Polymer-Based, Non-Cementitious Water-Resistive Membrane And Air Barrier For Exterior Insulation Finishing Systems (EIFS) (Dryvit Backstop® NT™), Per Coat",07,Thermal and Moisture Protection,SF,138899.17265156886,Exterior water-resistive membrane/air barrier,Calculated,0.63,0.63,0.14,1.4,1424.2590945717511,61.44,70.65599999999999,01 22 20 00-0027,"Roofer, Composite",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,105847.83672078277,100632.45058606163,21876.619692622102,0,228356.9069994665,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 644",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
18,07 46 46 00-0004,"7-1/4"" Board with 6"" Exposure, 5/16"" Thick, Fiber Cement Lap Siding",07,Thermal and Moisture Protection,SF,90284.46222351976,65% fiber-cement cladding baseline,Calculated,1.8135,1.8135,0.403,4.03,2664.8904987362152,61.44,70.65599999999999,01 22 20 00-0027,"Roofer, Composite",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,198048.8630643503,188290.503078706,40932.718060588275,0,427272.0842036446,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 662",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
19,07 54 23 00-0004,"60 Mil, Single Ply TPO Roofing Membrane, Fully Adhered",07,Thermal and Moisture Protection,SQ,1212.5,60-mil fully adhered TPO roof; CTC unit is roofing square,Calculated,132.7905,132.7905,29.509,295.09,2620.5807495117188,61.44,70.65599999999999,01 22 20 00-0027,"Roofer, Composite",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,194755.85892000006,185159.75343749998,40252.1203125,0,420167.73267,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 688",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
20,08 53 13 00-0071,"36"" x 60"", New Construction, Single Hung Vinyl Window (Silver Line 2200)",08,Openings,EA,2448,Four/six/eight windows by unit type,Calculated,184.822,134.416,16.802,336.04,5332.204958677686,61.71,70.9665,01 22 20 00-0014,Glazier,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,532074.4450560001,378407.92319999996,46272.708,0,956755.0762560001,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1047",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
21,08 42 13 00-0002,"3' x 7' x 1-3/4"" Medium Stile, Clear Anodized Finish, Aluminum Framed Entrance Doors",08,Openings,EA,28,"Building, amenity and retail entrance doors",Calculated,3156.6755,2295.764,286.9705,5739.41,1041.6689677523902,61.71,70.9665,01 22 20 00-0014,Glazier,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,103943.01086400001,73923.6008,9039.57075,0,186906.18241400004,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 954",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
22,08 43 13 00-0008,"10' High, 1-3/4"" x 4-1/2"" Frame, Vertical Mullions 4' On Center, Aluminum Storefront Framing Assembly",08,Openings,SF,12000,10-foot retail storefront framing,Calculated,8.888,6.464,0.808,16.16,1256.9761789013128,61.71,70.9665,01 22 20 00-0014,Glazier,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,125427.45600000002,89203.2,10908,0,225538.65600000002,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 959",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
23,08 12 13 13-0008,"3' x 6'-8"" Through 7'-2"" High, 4-3/4"" Deep, 16 Gauge, Knock Down Hollow Metal Door Frame",08,Openings,EA,800,Unit entries plus rated common/core frames,Calculated,179.388,130.464,16.308,326.16,1691.317452600875,61.71,70.9665,01 22 20 00-0014,Glazier,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,168768.23040000003,120026.87999999998,14677.199999999999,0,303472.3104,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 770",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
24,09 29 10 00-0009,"5/8"" Type X Fire Rated Gypsum Board",09,Finishes,SF,1584000,3.2 SF Type-X board per residential GSF,Calculated,0.508,0.6985,0.0635,1.27,19613.96915440525,56.41,64.8715,01 22 20 00-0009,Drywall Finisher,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,973331.2512,1272387.5999999999,113157,0,2358875.8512,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1283",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
25,09 29 10 00-0038,"Up To 10' High, Walls, Tape, Spackle And Finish Gypsum Board",09,Finishes,SF,1584000,Tape and finish matching board area,Calculated,0.184,0.253,0.023,0.46,7104.272292146782,56.41,64.8715,01 22 20 00-0009,Drywall Finisher,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,352545.17760000005,460864.8,40986,0,854395.9776000001,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1286",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
26,09 65 23 00-0002,"0.110"" Overall Thickness, 0.012"" Wear Layer, Vinyl Plank Flooring (Armstrong® Luxe Plank™)",09,Finishes,SF,276360,LVP at 70% of apartment NSF,Calculated,2.996,4.1195,0.3745,7.49,20181.971636234714,56.41,64.8715,01 22 20 00-0009,Drywall Finisher,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,1001518.0277760002,1309234.773,116433.9225,0,2427186.723276,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1328",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
27,09 30 13 00-0015,"Mounted Ceramic Floor Tile, Residential Grade",09,Finishes,SF,47376,Ceramic floor tile at 12% of apartment NSF,Calculated,3.008,4.136,0.376,7.52,3473.6241092004966,56.41,64.8715,01 22 20 00-0009,Drywall Finisher,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,172376.47687680004,225339.2064,20040.048,0,417755.73127680004,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1291",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
28,09 68 13 00-0004,"20 Ounce, Non Patterned, Nylon Carpet Tile",09,Finishes,SY,7896,Carpet at 18% of apartment NSF; CTC unit SY,Calculated,13.844,19.0355,1.7305,34.61,2664.497571352597,56.41,64.8715,01 22 20 00-0009,Drywall Finisher,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,132224.06615040003,172849.95419999998,15372.0315,0,320446.0518504,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1333",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
29,09 51 13 00-0003,"2' x 2' x 3/4"" Thick, Square Edge, Fiberglass Acoustical Ceiling Panel (Armstrong Optima®)",09,Finishes,SF,50000,Retail/common acoustical ceilings; shell and amenity allowance,Calculated,3.196,4.3945,0.3995,7.99,3895.142705194115,56.41,64.8715,01 22 20 00-0009,Drywall Finisher,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,193294.08000000005,252683.74999999997,22471.875000000004,0,468449.705,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1294",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
30,09 91 23 00-0258,"2 Coats Paint, Brush/Roller Work, One Face, Paint Interior Wood Door",09,Finishes,EA,2880,Two-coat apartment interior door painting,Calculated,26.248,36.091,3.281,65.62,1842.6179755362527,56.41,64.8715,01 22 20 00-0009,Drywall Finisher,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,91438.79270400002,119533.39199999999,10630.44,0,221602.62470400002,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1456",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
31,10 28 16 13-0083,Multi Roll (2) Plastic Toilet Tissue Dispenser,10,Specialties,EA,696,One bath tissue dispenser per bathroom,Calculated,47.927,34.856,4.357,87.14,418.0557642598656,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,38480.8566912,27898.742400000003,3411.531,0,69791.13009120002,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1576",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
32,10 28 16 13-0039,"24"" Length, Surface Mounted, Chrome Plated Towel Bar",10,Specialties,EA,696,One towel bar per bathroom,Calculated,41.47,30.16,3.77,75.4,361.7328967775288,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,33296.49523200001,24140.064,2951.91,0,60388.469232,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1575",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
33,10 28 16 13-0026,"Shower Curtain Rod, Polished Chrome",10,Specialties,EA,696,One shower rod per bathroom,Calculated,43.5765,31.692,3.9615,79.23,380.1073927278993,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,34987.815878400004,25366.2768,3101.8545,0,63455.947178400005,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1575",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
34,11 30 13 13-0050,>20 To 22 CF Top Freezer Refrigerator,11,Equipment,EA,480,One 20–22 CF refrigerator per unit,Calculated,846.552,423.276,141.092,1410.92,3158.285092491839,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.02,1,1,1.15,1.12,1.125,464208.48230400006,233648.35199999998,76189.68000000001,0,774046.5143040001,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1664",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
35,11 30 13 13-0005,"30"" Electric Range With Oven",11,Equipment,EA,480,One 30-inch electric range per unit,Calculated,506.01,253.005,84.335,843.35,1887.8035131353956,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.02,1,1,1.15,1.12,1.125,277471.59552000003,139658.75999999998,45540.9,0,462671.25552,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1663",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
36,11 30 13 13-0082,"24"" Built-In Dishwasher",11,Equipment,EA,480,One 24-inch dishwasher per unit,Calculated,432.708,216.354,72.118,721.18,1614.3311052386136,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.02,1,1,1.15,1.12,1.125,237276.29721600006,119427.408,38943.719999999994,0,395647.42521600006,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1665",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
37,12 36 23 13-0003,"Plastic Laminate Countertop With 4"" Backsplash",12,Furnishings and Casework,SF,11520,Twenty-four SF countertop per unit,Calculated,9.606,5.6035,0.8005,16.01,1112.3956574185768,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,133855.69075200002,74235.168,10374.48,0,218465.33875200004,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1795",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
38,12 36 23 13-0005,Cutout For Sink And/Or Faucet In Plastic Laminate Countertop,12,Furnishings and Casework,EA,720,Countertop sink/faucet cutouts,Calculated,29.628,17.283,2.469,49.38,214.43667068757543,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,25803.380736,14310.324,1999.89,0,42113.594736,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1795",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
39,13 34 19 00-0164,">50 SF, Prefinished Aluminum, Wall Hung Canopy",13,Special Construction,SF,800,Entry canopies and amenity shade structures,Benchmark assumption,22.4595,19.964,7.4865,49.91,248.26985854189334,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,20727.42336,18366.879999999997,6737.85,0,45832.15336,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1838",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
40,13 11 46 00-0015,"Ladders, 2 Tread, Stainless Steel Swimming Pool Equipment",13,Special Construction,EA,4,Pool access ladders; pool vessel carried as unresolved allowance,Benchmark assumption,1197.576,1064.512,399.192,2661.28,66.19070418156382,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,5526.094694400001,4896.7552,1796.364,0,12219.2138944,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1820",Low,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
41,14 21 23 13-0004,"Electric Traction Passenger Elevator, 3,000 LB x 200 FPM, 6 Stops, 6 Openings",14,Conveying Equipment,EA,8,"Eight 3,000-lb six-stop traction elevators; final code/core analysis required",User-provided,116807.276,102206.3665,73004.5475,292018.19,12710.258541893363,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,1046593.1929600001,940298.5717999999,657040.9275,0,2643932.69226,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1851",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
42,21 13 13 00-0004,"Concealed Piping, Light Hazard, Complete Wet-Pipe Sprinkler System, Per Head",21,Fire Suppression,EA,3194.4444444444443,Light-hazard wet-pipe coverage,Calculated,331.7535,331.7535,73.723,737.23,13628.705311213991,77.76,89.42399999999999,01 22 20 00-0030,Sprinkler Installer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,1246287.3150000002,1218733.3437499998,264942.03125,0,2729962.69,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1863",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
