"Division","Item","Unit","Qty","PricedBy","CTC_Task","CTC_Desc","Mat","LaborHrs","LaborRate","Labor","Equip","Sub","Extended"
"06","Interior Wall – 2x4","lf","700","CTC","06-001","Wood Framing - Interior Wall; 2x4; 16" OC","3563","140","$73/hr","10220","791","0","14574"
"06","Wall Sheathing – OSB/Plywood","sqft","5280","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"06","Low-slope roof framing (PT 2x8 @24" + steel)","sqft","1480","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"06","Roof Sheathing – OSB/Plywood","sqft","1480","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"06","Stair Framing","each","4","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"06","Elevator shaft framing & 2-hr rated enclosure","ea","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"06","Blocking, backing, misc rough carpentry","sqft","5920","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"07","Batt Insulation – R-13/R-15","sqft","5280","CTC","07-001","Batt Insulation - R-13; 2x4 Wall","4171","42","$73/hr","3084","581","0","7836"
"07","Fiber Cement Siding – Lap","sqft","5100","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"07","Roof / rigid insulation + air/vapor barrier","sqft","1480","CTC","07-001","Batt Insulation - R-13; 2x4 Wall","1169","12","$73/hr","864","163","0","2196"
"07","House wrap / weather-resistive barrier","sqft","5280","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"07","TPO Flat Roof","sq","14.8","CTC","07-010","Asphalt Shingle Roofing - Architectural Grade","3345","59","$73/hr","4322","836","0","8503"
"07","Gutters, downspouts, flashing, coping","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"07","Firestopping / rated assemblies (Type IIIB)","sqft","5920","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"07","Sealants & caulking","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"08","Interior Door – Solid Core","each","40","CTC","08-001","Interior Door - Hollow Core; Pre-Hung; 3-0 x 6-8","8362","100","$73/hr","7300","1130","0","16792"
"08","Exterior Door – Steel","each","4","CTC","08-001","Interior Door - Hollow Core; Pre-Hung; 3-0 x 6-8","836","10","$73/hr","730","113","0","1679"
"08","Vinyl Double-Hung Window","each","35","CTC","08-010","Vinyl Window - Double-Hung; Standard Size","10876","105","$73/hr","7665","1978","0","20519"
"08","Storefront / WELCOME entry glazing","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"08","Commercial hardware (levers, closers, panic)","ea","44","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"09","Drywall Hang – Standard 1/2\","sqft","26084","CTC","09-001","Drywall - 5/8" Type X; Walls","36778","783","$73/hr","57124","7304","0","101206"
"09","Drywall Tape & Finish – Level 4","sqft","26084","CTC","09-001","Drywall - 5/8" Type X; Walls","36778","783","$73/hr","57124","7304","0","101206"
"09","Rated shaft/corridor drywall upgrade (Type X)","sqft","3500","CTC","09-001","Drywall - 5/8" Type X; Walls","4935","105","$73/hr","7665","980","0","13580"
"09","Suspended ACT ceilings (cellar/kitchen/support)","sqft","1600","CTC","09-030","Suspended Acoustical Ceiling - 2x4 Grid","3616","80","$73/hr","5840","912","0","10368"
"09","Porcelain Floor Tile","sqft","900","CTC","09-020","Ceramic Floor Tile - Standard Grade","4581","135","$73/hr","9855","513","0","14949"
"09","Luxury Vinyl Plank (LVP)","sqft","4500","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"09","Interior Wall Paint","sqft","26084","CTC","09-010","Interior Painting - Walls; 2 Coats","13303","652","$73/hr","47603","4434","0","65340"
"09","Finish carpentry — base, casing, trim","sqft","5920","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"10","ADA Grab Bar","each","21","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"10","Toilet accessories sets (7 baths)","ea","7","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"10","Signage — egress / ADA / room ID","ea","30","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"10","Fire extinguishers & cabinets","ea","8","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"10","Misc specialties (lockers, mail, corner guards)","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"12","Standard Vanity with Top","each","7","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"12","Common/kitchen casework & countertops (base-bldg)","lf","40","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"12","Closet/pantry shelving & built-ins","ea","4","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"21","Sprinkler system — NFPA 13, full building","sqft","5920","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"21","Fire service / standpipe / FDC","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"21","Sprinkler testing & certification","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"22","Standard Toilet","each","7","CTC","22-011","Water Closet - Floor-Mount; Standard","2966","32","$124/hr","3906","593","0","7466"
"22","Lavatories / sinks (7 baths + common + kitchen)","ea","12","CTC","22-010","Lavatory - Wall-Hung; Vitreous China","4407","48","$124/hr","5952","678","0","11037"
"22","Standard Bathtub","each","7","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"22","DWV + water supply distribution (by fixture)","ea","36","CTC","22-001","Copper Water Pipe - 3/4"; Type L","285","7","$124/hr","893","61","0","1239"
"22","Gas Line – New Run","lf","180","CTC","22-001","Copper Water Pipe - 3/4"; Type L","1424","36","$124/hr","4464","306","0","6194"
"22","Water heaters — commercial (2 × WH-1)","ea","2","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"22","Laundry rough-in + sump pump","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"22","Commercial-kitchen plumbing/gas rough-in (base-bldg)","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"23","Split HVAC systems — 4 zones (CU-1..4 + AHU-1..4)","ea","4","CTC","23-010","Split System AC - 3 Ton; 14 SEER","15820","96","$124/hr","11904","2260","0","29984"
"23","Ductwork distribution","lf","900","CTC","23-001","HVAC Ductwork - Galvanized Steel; Rectangular","2799","72","$124/hr","8928","765","0","12492"
"23","Controls / thermostats / zoning","ea","4","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"23","Bathroom Exhaust Fan – Standard","each","7","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"23","Kitchen hood curb, exhaust (KEF-1) & make-up air (MAU-1) ductwork (base-bldg)","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"23","Elevator machine-room mini-split + TAB","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"26","Panel Upgrade – 400A","each","1","CTC","26-030","Panel Board - 200A; 42 Circuit","1978","16","$124/hr","1984","283","0","4244"
"26","Panel Upgrade – 200A","each","2","CTC","26-030","Panel Board - 200A; 42 Circuit","3955","32","$124/hr","3968","565","0","8488"
"26","Feeders & branch wiring (building-wide)","sqft","5920","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"26","Lighting package (LED recessed/surface, interior/exterior)","ea","65","CTC","26-020","LED Light Fixture - 2x4 Troffer","11752","98","$124/hr","12090","1102","0","24944"
"26","Wiring devices & plates","ea","220","CTC","26-010","Duplex Receptacle - 20A; Spec Grade","10441","220","$124/hr","27280","1989","0","39710"
"26","HVAC power / equipment connections (CU/AHU/MAU/KEF)","ea","10","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"26","Commercial-kitchen & walk-in electrical rough-in (base-bldg)","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"26","Elevator power rough-in, disconnect & cab-light circuit","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"26","Emergency & exit lighting (egress)","ea","24","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"26","Smoke Detector – Hardwired","each","14","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"27/28","Fire alarm system — addressable (R-2)","sqft","5920","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"27/28","Cat6 Ethernet Drop","each","20","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"27/28","Security / access control / intercom / CCTV","ls","1","PENDING-CTC","","","0","0","$124/hr","0","0","0","0"
"31","Mass & foundation excavation (cellar)","cy","550","CTC","31-001","Excavation - Common Earth; Machine","0","28","$73/hr","2008","3729","0","5737"
"31","Haul-off / spoil disposal","cy","400","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"31","Backfill & compaction","cy","180","CTC","31-002","Backfill - Compacted; On-Site Material","0","13","$73/hr","920","1730","0","2650"
"31","Stone base / under-slab drainage","sqft","1480","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"31","Fine grading","sqft","2520","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"32","Walks, steps & entry hardscape","sqft","500","CTC","32-001","Asphalt Paving - 2" Surface Course","1270","8","$73/hr","548","425","0","2243"
"32","Site drainage / area drains","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"32","Landscaping, planter & site restoration","sqft","2520","CTC","32-010","Sodding - Bermuda Grass","1134","13","$73/hr","920","277","0","2331"
"33","Domestic water service & tap","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"33","Sanitary sewer service & connection","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"33","Gas service & meter","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
"33","Electrical service lateral / transformer coord (Pepco)","ls","1","PENDING-CTC","","","0","0","$73/hr","0","0","0","0"
