"Division","Item","Unit","Qty","Method","Sheet","Confidence","CatalogueCode","Allowance"
"26","Smoke Detector – Hardwired","each","14","MEASURED","E101 legend","MED","ELEC-SMOKE","no"
"27/28","Fire alarm system — addressable (R-2)","sqft","5920","ASSUMED","E101/A000","MED","ALLOWANCE","YES"
"27/28","Cat6 Ethernet Drop","each","20","ASSUMED","E102 note A","MED","ELEC-CAT6","no"
"27/28","Security / access control / intercom / CCTV","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"31","Mass & foundation excavation (cellar)","cy","550","CALC","A001","LOW","ALLOWANCE","YES"
"31","Haul-off / spoil disposal","cy","400","ASSUMED","","LOW","ALLOWANCE","YES"
"31","Backfill & compaction","cy","180","ASSUMED","","LOW","ALLOWANCE","YES"
"31","Stone base / under-slab drainage","sqft","1480","ASSUMED","A001","LOW","ALLOWANCE","YES"
"31","Fine grading","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"32","Walks, steps & entry hardscape","sqft","500","ASSUMED","A000","LOW","ALLOWANCE","YES"
"32","Site drainage / area drains","ls","1","ASSUMED","","LOW","ALLOWANCE","YES"
"32","Landscaping, planter & site restoration","ls","1","ASSUMED","A001","LOW","ALLOWANCE","YES"
"33","Domestic water service & tap","ls","1","ASSUMED","P102","LOW","ALLOWANCE","YES"
"33","Sanitary sewer service & connection","ls","1","ASSUMED","P104","LOW","ALLOWANCE","YES"
"33","Gas service & meter","ls","1","ASSUMED","P106","LOW","ALLOWANCE","YES"
"33","Electrical service lateral / transformer coord (Pepco)","ls","1","ASSUMED","E101","LOW","ALLOWANCE","YES"
