"Division","Item","CatalogueCode","Allowance","Unit","Qty","Method","DimensionBasis","Sheet","Confidence","MatUnit","LaborHrs","LaborRate","LaborCost","EquipUnit","SubUnit","Extended","Note"
"03","Concrete Pour – 4\","CONC-POUR-4","no","sqft","1480","MEASURED","4" SOG; 24×~62 = 1;480 SF","S100","MED","5.43","59","$73/hr","4322","0","0","12358","Slab on grade on 6-mil VB + 4" gravel (S100)"
"03","Wire Mesh Placement","CONC-MESH","no","sqft","1480","MEASURED","W2.9×W2.9 WWF over slab area","S100","MED","0.6","15","$73/hr","1080","0","0","1968","Welded wire fabric (not rebar) per S100"
"03","Elevator pit (excavate/form/pour/waterproof)","ALLOWANCE","YES","ea","1","MEASURED","7'-9"×7'-9" hoistway pit","A001","LOW","0","0","$73/hr","0","0","9500","9500","Equip excluded"
"03","Exterior concrete (rear areaway, stoop, steps)","ALLOWANCE","YES","sqft","400","MEASURED","rear areaway + front entry slab ~400 SF","A000/S100","LOW","6","19","$73/hr","1402","0","5760","9562",""
"03","Exterior Waterproofing","FOUND-WP-EXT","no","lf","176","CALC","perimeter 176 LF","S100","MED","120.75","264","$73/hr","19272","0","0","40524",""
"04","Brick Veneer","SID-BRICK-VEN","no","sqft","600","MEASURED","front 24'×35.3' − openings = 600 SF","A004","MED","14.49","150","$73/hr","10950","0","0","19644",""
"04","Lintels, flashing, masonry accessories","ALLOWANCE","YES","ls","1","CALC","front openings: storefront + 8 windows","A004","LOW","0","0","$73/hr","0","0","5500","5500",""
"05","Steel Beam Installation","FOUND-STEEL-BEAM","no","lf","210","MEASURED","W12×26: ~2 beams × 24' × 4 levels + roof","S101","MED","60.37","158","$73/hr","11498","0","0","24175","W12×26"
"05","HSS 5×5×3/8 steel columns + base plates","ALLOWANCE","YES","lf","280","MEASURED","~8 cols × 35' on 3/4"×8"×12 base plates","S100/S101","LOW","21.7","35","$73/hr","2535","0","8680","17291",""
"05","Steel connections, embeds, stair/rail steel, misc metals","ALLOWANCE","YES","ls","1","CALC","beam/col connections + egress stair steel","S101","LOW","0","0","$73/hr","0","0","14000","14000",""
"06","Floor System – I-Joist (TJI)","FRAME-FLOOR-TJI","no","sqft","4440","MEASURED","3 floors × 1;480 = 4;440 SF","S101","MED","7.59","266","$73/hr","19447","0","0","53147","TJI 360×14 engineered-wood I-joist @16" O.C."
"06","Subfloor Sheathing","FRAME-SHEATH-SUB","no","sqft","4440","MEASURED","3/4" ply; 4;440 SF","S101","MED","2.85","133","$73/hr","9724","0","0","22378",""
"06","Exterior Wall – 2x6","FRAME-WALL-2X6","no","lf","528","CALC","P176 × 3 stories = 528 LF","A004","MED","11.38","95","$73/hr","6938","0","0","12947",""
"06","Interior Wall – 2x4","FRAME-WALL-2X4","no","lf","700","MEASURED","partitions: cellar130+1st120+2nd210+3rd210 = 700 LF","A001-A002","MED","7.59","105","$73/hr","7665","0","0","12978",""
"06","Wall Sheathing – OSB/Plywood","FRAME-SHEATH-WALL","no","sqft","5280","CALC","P176 × 30' above grade = 5;280 SF","A004","MED","1.9","106","$73/hr","7709","0","0","17741",""
"06","Low-slope roof framing (PT 2x8 @24" + steel)","ALLOWANCE","YES","sqft","1480","MEASURED","roof 1;480 SF","S101/A003","LOW","3.75","74","$73/hr","5402","0","0","10952",""
"06","Roof Sheathing – OSB/Plywood","FRAME-SHEATH-ROOF","no","sqft","1480","MEASURED","1;480 SF","A003","MED","2.02","44","$73/hr","3241","0","0","6231",""
"06","Stair Framing","FRAME-STAIR","no","each","4","MEASURED","cellar→3 = 4 flights; 18-19 risers ea","A001-A002","MED","181.13","16","$73/hr","1168","0","0","1893",""
"06","Elevator shaft framing & 2-hr rated enclosure","ALLOWANCE","YES","ea","1","MEASURED","7'-9"×7'-9" × 4 levels shaft","A001","LOW","0","0","$73/hr","0","0","14000","14000",""
"06","Blocking, backing, misc rough carpentry","ALLOWANCE","YES","sqft","5920","CALC","GSF 5;920","A001-A002","LOW","0.63","50","$73/hr","3630","0","0","7360",""
"07","Batt Insulation – R-13/R-15","FRAME-INSUL-BATT","no","sqft","5280","CALC","exterior walls 5;280 SF","A004","MED","0.97","53","$73/hr","3854","0","0","8976",""
"07","Fiber Cement Siding – Lap","SID-FC-LAP","no","sqft","5100","MEASURED","rear 728 + 2 sides 4;372 = 5;100 SF","A004/A005","MED","6.64","408","$73/hr","29784","0","0","63648","Fiber-cement lap — rear + sides"
"07","Roof / rigid insulation + air/vapor barrier","ALLOWANCE","YES","sqft","1480","MEASURED","roof 1;480 SF","A003","LOW","1.57","22","$73/hr","1631","0","2664","6619",""
"07","House wrap / weather-resistive barrier","ALLOWANCE","YES","sqft","5280","CALC","5;280 SF","A004","LOW","0.68","48","$73/hr","3508","0","0","7098",""
"07","TPO Flat Roof","ROOF-FLAT-TPO","no","sq","14.8","MEASURED","1;480 SF = 14.8 sq","A003","MED","332.06","37","$73/hr","2701","0","0","7615",""
"07","Gutters, downspouts, flashing, coping","ALLOWANCE","YES","ls","1","CALC","parapet perimeter + downspouts","A003/A004","LOW","0","0","$73/hr","0","0","8500","8500",""
"07","Firestopping / rated assemblies (Type IIIB)","ALLOWANCE","YES","sqft","5920","CALC","GSF 5;920 rated construction","A000","LOW","0.22","17","$73/hr","1253","0","3907","6463",""
"07","Sealants & caulking","ALLOWANCE","YES","ls","1","CALC","openings + joints perimeter","A004","LOW","0","0","$73/hr","0","0","4500","4500",""
"08","Interior Door – Solid Core","DOOR-INT-SOLID","no","each","40","MEASURED","D2xx/D3xx interior","A006/plans","MED","362.25","100","$73/hr","7300","0","0","21790",""
"08","Exterior Door – Steel","DOOR-EXT-STEEL","no","each","4","MEASURED","front dbl + rear + side","A004/A005","MED","724.5","16","$73/hr","1168","0","0","4066",""
"08","Vinyl Double-Hung Window","WIN-VIN-DH","no","each","35","MEASURED","window tags 01–35","A004/A005","MED","452.81","88","$73/hr","6388","0","0","22236",""
"08","Storefront / WELCOME entry glazing","ALLOWANCE","YES","ls","1","MEASURED","first-floor storefront + WELCOME entry (elevation)","A004","LOW","0","0","$73/hr","0","0","9500","9500",""
"08","Commercial hardware (levers, closers, panic)","ALLOWANCE","YES","ea","44","CALC","44 doors × commercial hardware set","plans","LOW","101.5","26","$73/hr","1863","0","0","6329",""
"09","Drywall Hang – Standard 1/2\","DRY-HANG-STD","no","sqft","26084","CALC","2.4×GSF walls + ceilings","A001-A002","MED","0.7","522","$73/hr","38083","0","0","56341",""
"09","Drywall Tape & Finish – Level 4","DRY-TAPE-L4","no","sqft","26084","CALC","same drywall area; Level-4 finish","A001-A002","MED","0.3","522","$73/hr","38083","0","0","45908",""
"09","Rated shaft/corridor drywall upgrade (Type X)","ALLOWANCE","YES","sqft","3500","CALC","elevator shaft + corridor rated walls ~3;500 SF","A001-A002","LOW","0.44","31","$73/hr","2248","0","0","3788",""
"09","Suspended ACT ceilings (cellar/kitchen/support)","ALLOWANCE","YES","sqft","1600","CALC","kitchen 470 + records/maint/support ~1;600 SF","A001","LOW","2.16","31","$73/hr","2243","0","5760","11459",""
"09","Porcelain Floor Tile","FLR-TILE-PORC","no","sqft","900","MEASURED","7 baths tile floor+base ~900 SF","A001-A002","MED","9.66","180","$73/hr","13140","0","0","21834",""
"09","Luxury Vinyl Plank (LVP)","FLR-LVP","no","sqft","4500","CALC","8 BR + lounge/office/common ~4;500 SF","A001-A002","MED","4.83","270","$73/hr","19710","0","0","41445",""
"09","Interior Wall Paint","PAINT-INT-WALL","no","sqft","26084","CALC","wall+ceiling drywall area","A001-A002","MED","0.48","522","$73/hr","38083","0","0","50603",""
"09","Finish carpentry — base, casing, trim","ALLOWANCE","YES","sqft","5920","CALC","GSF 5;920 base/casing at doors+rooms","A001-A002","LOW","1.04","123","$73/hr","8989","0","0","15146",""
"10","ADA Grab Bar","BATH-ACC-GRAB","no","each","21","MEASURED","3 bars × 7 baths (ADA)","A001-A002","MED","72.45","21","$73/hr","1533","0","0","3054",""
"10","Toilet accessories sets (7 baths)","ALLOWANCE","YES","ea","7","MEASURED","7 baths","A001-A002","LOW","154","6","$73/hr","450","0","0","1528",""
"10","Signage — egress / ADA / room ID","ALLOWANCE","YES","ea","30","CALC","~30 rooms/egress points × ID sign","A001-A002","LOW","98","17","$73/hr","1226","0","0","4166",""
"10","Fire extinguishers & cabinets","ALLOWANCE","YES","ea","8","CALC","4 levels; ~1 per 75' travel = 8","A001-A002","LOW","132","4","$73/hr","257","0","0","1313",""
"10","Misc specialties (lockers, mail, corner guards)","ALLOWANCE","YES","ls","1","CALC","corner guards at corridors + mail","A001-A002","LOW","0","0","$73/hr","0","0","3500","3500",""
"12","Standard Vanity with Top","BATH-VAN-STD","no","each","7","MEASURED","7 baths","A001-A002","MED","603.75","21","$73/hr","1533","0","0","5759",""
"12","Common/kitchen casework & countertops (base-bldg)","ALLOWANCE","YES","lf","40","MEASURED","kitchen prep counters + server station ~40 LF","A001","LOW","84","19","$73/hr","1402","0","4800","9562","Loose FF&E excluded"
"12","Closet/pantry shelving & built-ins","ALLOWANCE","YES","ea","4","MEASURED","WIC 205/207 + closets 206 + pantry","A002","LOW","812.5","43","$73/hr","3163","0","0","6413",""
"21","Sprinkler system — NFPA 13, full building","ALLOWANCE","YES","sqft","5920","MEASURED","GSF 5;920; sprinkler closet L3","A002","MED","0","0","$124/hr","0","0","38480","38480","Sprinkler closet shown L3"
"21","Fire service / standpipe / FDC","ALLOWANCE","YES","ls","1","CALC","1 fire service entry + riser; cellar→roof","A002","LOW","0","0","$124/hr","0","0","12000","12000",""
"21","Sprinkler testing & certification","ALLOWANCE","YES","ls","1","CALC","per-system flush/test","A002","LOW","0","0","$124/hr","0","0","3500","3500",""
"22","Standard Toilet","BATH-TOIL-STD","no","each","7","MEASURED","7 baths","A001-A002","MED","332.06","14","$124/hr","1736","0","0","4060",""
"22","Lavatories / sinks (7 baths + common + kitchen)","ALLOWANCE","YES","ea","12","MEASURED","7 lav + kitchen/prep/mop sinks = 12","P102-P104","LOW","186","48","$124/hr","5952","0","4092","12276",""
"22","Standard Bathtub","BATH-TUB-STD","no","each","7","MEASURED","30×60 tub/shower × 7 baths","A001-A002","MED","483","35","$124/hr","4340","0","0","7721",""
"22","DWV + water supply distribution (by fixture)","ALLOWANCE","YES","ea","36","MEASURED","~36 fixtures on sanitary/water risers","P104/P105","LOW","190","216","$124/hr","26784","0","17100","50724",""
"22","Gas Line – New Run","PLUMB-GAS-LINE","no","lf","180","MEASURED","gas riser: kitchen + 2 WH + dryer (~180 LF)","P106","MED","14.49","45","$124/hr","5580","0","0","8188",""
"22","Water heaters — commercial (2 × WH-1)","ALLOWANCE","YES","ea","2","MEASURED","2 × WH-1 scheduled","E101/P","LOW","1680","16","$124/hr","1984","0","4200","9544",""
"22","Laundry rough-in + sump pump","ALLOWANCE","YES","ls","1","MEASURED","washer/dryer 202 + sump pump","A002/E101","LOW","480","11","$124/hr","1323","0","1920","3723",""
"22","Commercial-kitchen plumbing/gas rough-in (base-bldg)","ALLOWANCE","YES","ls","1","MEASURED","kitchen 470 SF: sinks; floor drains; gas; walk-in drains","A001/P","MED","0","0","$124/hr","0","0","22000","22000","Rough-in only — equipment excluded"
"23","Split HVAC systems — 4 zones (CU-1..4 + AHU-1..4)","ALLOWANCE","YES","ea","4","MEASURED","4 CU + 4 AHU scheduled","E101/M103","LOW","3920","64","$124/hr","7936","0","19600","43216",""
"23","Ductwork distribution","ALLOWANCE","YES","lf","900","CALC","4 systems × ~225 LF trunk+branch","M103/M104","LOW","6.6","270","$124/hr","33480","0","9900","49320",""
"23","Controls / thermostats / zoning","ALLOWANCE","YES","ea","4","CALC","4 zones × thermostat/controls","M103","LOW","0","0","$124/hr","0","0","7500","7500",""
"23","Bathroom Exhaust Fan – Standard","BATH-VENT-STD","no","each","7","MEASURED","7 baths","M103","MED","108.67","18","$124/hr","2170","0","0","2931",""
"23","Kitchen hood curb, exhaust (KEF-1) & make-up air (MAU-1) ductwork (base-bldg)","ALLOWANCE","YES","ls","1","MEASURED","KEF-1 + MAU-1 scheduled","E101/M","MED","0","0","$124/hr","0","0","26000","26000","Base-building vent only — hood/MUA equipment excluded"
"23","Elevator machine-room mini-split + TAB","ALLOWANCE","YES","ls","1","MEASURED","elevator mini-split scheduled","E101","LOW","0","0","$124/hr","0","0","6500","6500",""
"26","Panel Upgrade – 400A","ELEC-PNL-400","no","each","1","MEASURED","400A/208V/3Φ service + CT/meter (riser)","E101","MED","4226.25","24","$124/hr","2976","0","0","7202",""
"26","Panel Upgrade – 200A","ELEC-PNL-200","no","each","2","MEASURED","panels A + B (schedules)","E101","MED","1690.5","28","$124/hr","3472","0","0","6853",""
"26","Feeders & branch wiring (building-wide)","ALLOWANCE","YES","sqft","5920","CALC","~80 circuits (panel A+B) × avg run over 5;920 SF","E101-E104","LOW","3.32","296","$124/hr","36704","0","22496","78854",""
"26","Lighting package (LED recessed/surface, interior/exterior)","ALLOWANCE","YES","ea","65","MEASURED","~65 fixtures counted on E104 + controls","E104","LOW","117","45","$124/hr","5588","0","5915","19108",""
"26","Wiring devices & plates","ALLOWANCE","YES","ea","220","CALC","receptacle circuits × devices/circuit","E102-E103","LOW","16.8","74","$124/hr","9166","0","0","12862",""
"26","HVAC power / equipment connections (CU/AHU/MAU/KEF)","ALLOWANCE","YES","ea","10","MEASURED","4 CU + 4 AHU + MAU + KEF = 10 connections","E101","LOW","260","52","$124/hr","6448","0","0","9048",""
"26","Commercial-kitchen & walk-in electrical rough-in (base-bldg)","ALLOWANCE","YES","ls","1","MEASURED","kitchen + walk-in cooler circuits (panel A)","E101","LOW","0","0","$124/hr","0","0","11000","11000","Rough-in only — equipment excluded"
"26","Elevator power rough-in, disconnect & cab-light circuit","ALLOWANCE","YES","ls","1","MEASURED","elevator machine + cab-light circuits (panel B)","E101","LOW","0","0","$124/hr","0","0","5200","5200","Equipment excluded"
"26","Emergency & exit lighting (egress)","ALLOWANCE","YES","ea","24","CALC","egress path exit/EM combos; 4 levels","E104","LOW","192","41","$124/hr","5079","0","0","9687",""
"26","Smoke Detector – Hardwired","ELEC-SMOKE","no","each","14","MEASURED","smoke/CO detectors; ~14 bedrooms/corridors","E101 legend","MED","42.26","11","$124/hr","1302","0","0","1894",""
"27/28","Fire alarm system — addressable (R-2)","ALLOWANCE","YES","sqft","5920","CALC","GSF 5;920; smoke/CO devices per E101 legend","E101/A000","MED","0","0","$124/hr","0","0","15392","15392",""
"27/28","Cat6 Ethernet Drop","ELEC-CAT6","no","each","20","CALC","~20 data drops (1-2 per office/common)","E102 note A","MED","36.23","20","$124/hr","2480","0","0","3205",""
"27/28","Security / access control / intercom / CCTV","ALLOWANCE","YES","ls","1","ASSUMED","","","LOW","0","0","$124/hr","0","0","18000","18000","NOT designed on this set — owner/design allowance"
"31","Mass & foundation excavation (cellar)","ALLOWANCE","YES","cy","550","CALC","1;480 SF × 10' / 27 = 548 CY","S100","LOW","0","62","$73/hr","4497","11550","6930","22977",""
"31","Haul-off / spoil disposal","ALLOWANCE","YES","cy","400","CALC","excav 550 − backfill 180 = ~370 CY export","S100","LOW","0","41","$73/hr","2958","6080","6080","15118",""
"31","Backfill & compaction","ALLOWANCE","YES","cy","180","CALC","perimeter over-dig backfill","S100","LOW","0","24","$73/hr","1787","3060","1224","6071",""
"31","Stone base / under-slab drainage","ALLOWANCE","YES","sqft","1480","MEASURED","4" gravel under slab = 1;480 SF (S100)","S100","LOW","1.92","25","$73/hr","1847","0","0","4689",""
"31","Fine grading","ALLOWANCE","YES","sqft","2520","CALC","yard = lot 4;000 − footprint 1;480 = 2;520 SF","A000","LOW","0","35","$73/hr","2557","3931","0","6488",""
"32","Walks, steps & entry hardscape","ALLOWANCE","YES","sqft","500","CALC","front walk + rear egress path ~500 SF","A000","LOW","4.5","18","$73/hr","1314","0","5400","8964",""
"32","Site drainage / area drains","ALLOWANCE","YES","ls","1","CALC","areaway + downspout tie-ins","A000","LOW","0","0","$73/hr","0","0","9500","9500",""
"32","Landscaping, planter & site restoration","ALLOWANCE","YES","sqft","2520","CALC","yard 2;520 SF + front planter","A001","LOW","1.65","37","$73/hr","2704","0","6930","13792",""
"33","Domestic water service & tap","ALLOWANCE","YES","ls","1","ASSUMED","","P102","LOW","0","0","$73/hr","0","0","18000","18000",""
"33","Sanitary sewer service & connection","ALLOWANCE","YES","ls","1","ASSUMED","","P104","LOW","0","0","$73/hr","0","0","20000","20000",""
"33","Gas service & meter","ALLOWANCE","YES","ls","1","ASSUMED","","P106","LOW","0","0","$73/hr","0","0","9000","9000",""
"33","Electrical service lateral / transformer coord (Pepco)","ALLOWANCE","YES","ls","1","ASSUMED","","E101","LOW","0","0","$73/hr","0","0","15000","15000",""
